ORIG,DEST,LS0,LS1,LS2,LS3,LS4,LS5,LS6,LS7,NOTES
6327,6529,0,5250,0,0,0,0,0,0,About 1500 trips extra. Containers between Waalhaven and Maasvlakte
6529,6327,0,5250,0,0,0,0,0,0,About 1500 trips extra. Containers between Waalhaven and Maasvlakte
3732,6561,0,0,350,0,0,0,0,0,About 100 trips extra. Farm Frites to Eurofrigo
1671,-1,0,0,0,0,0,0,0,0,Nedcargo Zoetermeer
2173,-1,1750,0,0,0,0,0,0,0,About 500 trips extra. Glastuinbouw Pijnacker-Nootdorp
2174,-1,1750,0,0,0,0,0,0,0,About 500 trips extra. Glastuinbouw Pijnacker-Nootdorp
2911,-1,0,0,0,0,0,0,0,0,Veiling Westland
2912,-1,0,0,0,0,0,0,0,0,Veiling Westland
2914,-1,0,0,0,0,0,0,0,0,Veiling Westland
2915,-1,0,0,0,0,0,0,0,0,Veiling Westland
2917,-1,0,0,0,0,0,0,0,0,Veiling Westland
5008,-1,0,0,0,0,0,0,0,1750,About 500 trips extra. Boot DFDS Vlaardingen
