NUTS_ID,AREANR
NL332,99999900
NL333,99999900
NL337,99999900
NL338,99999900
NL339,99999900
NL33A,99999900
NL33B,99999900
NL33C,99999900
NL111,99999901
NL112,99999902
NL113,99999903
NL121,99999904
NL122,99999905
NL123,99999906
NL131,99999907
NL132,99999908
NL133,99999909
NL211,99999910
NL212,99999911
NL213,99999912
NL221,99999913
NL225,99999914
NL226,99999915
NL224,99999916
NL310,99999917
NL321,99999918
NL322,99999919
NL323,99999920
NL324,99999921
NL325,99999922
NL326,99999923
NL327,99999924
NL341,99999931
NL342,99999932
NL411,99999933
NL412,99999934
NL413,99999935
NL414,99999936
NL421,99999937
NL422,99999938
NL423,99999939
NL230,99999940
BE,99999941
DE,99999942
FR,99999943
